Designator,Mid X,Mid Y,Rotation,Layer
C1,-94.059454,-84.534446,0,bottom
C2,-94.059454,-71.43756,0,bottom
C3,-117.276661,-82.748507,180,bottom
C4,-117.276661,-75.604751,180,bottom
C5,-109.537592,-89.29695,180,bottom
C6,-94.059454,-86.915698,180,bottom
D1,-36.314093,-10.715634,90,bottom
D2,-39.885971,-10.715634,90,bottom
D3,-55.364109,-10.715634,90,bottom
D4,-58.935987,-10.715634,90,bottom
D5,-77.986003,-10.715634,90,bottom
D6,-97.036019,-10.715634,90,bottom
D7,-116.086035,-10.715634,90,bottom
D8,-135.136051,-10.715634,90,bottom
D9,-154.186067,-10.715634,90,bottom
D10,-173.236083,-10.715634,90,bottom
D11,-192.286099,-10.715634,90,bottom
D12,-211.336115,-10.715634,90,bottom
D13,-230.386131,-10.715634,90,bottom
D14,-249.436147,-10.715634,90,bottom
D15,-245.864269,-10.715634,90,bottom
D16,-6.548443,-29.76565,90,bottom
D17,-45.839101,-29.76565,90,bottom
D18,-49.410979,-29.76565,90,bottom
D19,-68.460995,-29.76565,90,bottom
D20,-87.511011,-29.76565,90,bottom
D21,-106.561027,-29.76565,90,bottom
D22,-125.611043,-29.76565,90,bottom
D23,-144.661059,-29.76565,90,bottom
D24,-163.711075,-29.76565,90,bottom
D25,-182.761091,-29.76565,90,bottom
D26,-201.811107,-29.76565,90,bottom
D27,-220.861123,-29.76565,90,bottom
D28,-239.911139,-29.76565,90,bottom
D29,-236.339261,-29.76565,90,bottom
D30,-24.407833,-48.815666,90,bottom
D31,-50.601605,-48.815666,90,bottom
D32,-54.173483,-48.815666,90,bottom
D33,-73.223499,-48.815666,90,bottom
D34,-92.273515,-48.815666,90,bottom
D35,-111.323531,-48.815666,90,bottom
D36,-145.851685,-48.815666,90,bottom
D37,-149.423563,-48.815666,90,bottom
D38,-168.473579,-48.815666,90,bottom
D39,-187.523595,-48.815666,90,bottom
D40,-206.573611,-48.815666,90,bottom
D41,-225.623627,-48.815666,90,bottom
D42,-244.673643,-48.815666,90,bottom
D43,-272.058041,-48.815666,90,bottom
D44,-41.076597,-67.865682,90,bottom
D45,-44.648475,-67.865682,90,bottom
D46,-60.126613,-67.865682,90,bottom
D47,-63.698491,-67.865682,90,bottom
D48,-82.748507,-67.865682,90,bottom
D49,-101.798523,-67.865682,90,bottom
D50,-120.848539,-67.865682,90,bottom
D51,-139.898555,-67.865682,90,bottom
D52,-158.948571,-67.865682,90,bottom
D53,-177.998587,-67.865682,90,bottom
D54,-197.048603,-67.865682,90,bottom
D55,-216.098619,-67.865682,90,bottom
D56,-242.292391,-67.865682,90,bottom
D57,-268.486163,-67.865682,90,bottom
D58,-45.839101,-86.915698,90,bottom
D59,-51.792231,-86.915698,90,bottom
D60,-69.651621,-86.915698,90,bottom
D61,-150.614189,-86.915698,90,bottom
D62,-210.145489,-86.915698,90,bottom
D63,-216.098619,-86.915698,90,bottom
D64,-239.911139,-86.915698,90,bottom
D65,-233.958009,-86.915698,90,bottom
F1,-15.478138,-17.85939,90,bottom
H3,-175.41875,-73.81875,180,bottom
J1,-117.276661,-89.892263,-90,bottom
J2,-18.568,0.62,0,bottom
J3,-72.628186,-17.85939,-90,bottom
R1,-17.34375,-56.35625,180,bottom
R2,-17.85939,-16.668764,90,bottom
R3,-20.240642,-16.668764,-90,bottom
R4,-117.276661,-85.129759,0,bottom
R5,-117.276661,-73.223499,180,bottom
R6,-15.478138,-13.096886,90,bottom
R7,-22.621894,-13.096886,-90,bottom
SW1,-30.956276,-47.62504,180,bottom
U1,-19.050016,-12.501573,0,bottom
U2,-105.965714,-79.771942,90,bottom
X1,-94.059454,-79.176629,-90,bottom
H1,123.825,-91.28125,0,top
H2,155.575,-73.81875,0,top
K1,9.525,-9.525,0,top
K2,28.575,-9.525,0,top
K3,47.625,-9.525,0,top
K4,66.675,-9.525,0,top
K5,85.725,-9.525,0,top
K6,104.775,-9.525,0,top
K7,123.825,-9.525,0,top
K8,142.875,-9.525,0,top
K9,161.925,-9.525,0,top
K10,180.975,-9.525,0,top
K11,200.025,-9.525,0,top
K12,219.075,-9.525,0,top
K13,238.125,-9.525,0,top
K14,257.175,-9.525,0,top
K15,266.7,-9.525,0,top
K15-1,276.225,-9.525,0,top
K16,14.2875,-28.575,0,top
K17,38.1,-28.575,0,top
K18,57.15,-28.575,0,top
K19,76.2,-28.575,0,top
K20,95.25,-28.575,0,top
K21,114.3,-28.575,0,top
K22,133.35,-28.575,0,top
K23,152.4,-28.575,0,top
K24,171.45,-28.575,0,top
K25,190.5,-28.575,0,top
K26,209.55,-28.575,0,top
K27,228.6,-28.575,0,top
K28,247.65,-28.575,0,top
K29,271.4625,-28.575,0,top
K30,16.66875,-47.625,0,top
K30-1,11.90625,-47.625,0,top
K31,42.8625,-47.625,0,top
K32,61.9125,-47.625,0,top
K33,80.9625,-47.625,0,top
K34,100.0125,-47.625,0,top
K35,119.0625,-47.625,0,top
K36,138.1125,-47.625,0,top
K37,157.1625,-47.625,0,top
K38,176.2125,-47.625,0,top
K39,195.2625,-47.625,0,top
K40,214.3125,-47.625,0,top
K41,233.3625,-47.625,0,top
K42,252.4125,-47.625,0,top
K43,264.31875,-47.625,0,top
K43-1,273.84398,-38.1,0,top
K44,21.43125,-66.675,0,top
K44-1,11.90625,-66.675,0,top
K45,33.3375,-66.675,0,top
K46,52.3875,-66.675,0,top
K47,71.4375,-66.675,0,top
K48,90.4875,-66.675,0,top
K49,109.5375,-66.675,0,top
K50,128.5875,-66.675,0,top
K51,147.6375,-66.675,0,top
K52,166.6875,-66.675,0,top
K53,185.7375,-66.675,0,top
K54,204.7875,-66.675,0,top
K55,223.8375,-66.675,0,top
K56,259.556468,-66.675,0,top
K56-1,250.03146,-66.675056,0,top
K57,276.225,-66.675,0,top
K58,11.90625,-85.725,0,top
K58-1,14.2875,-85.725,0,top
K59,35.71875,-85.725,0,top
K59-1,38.1,-85.725,0,top
K60,59.53125,-85.725,0,top
K60-1,61.9125,-85.725,0,top
K61,130.96875,-85.725,0,top
K61-1,142.875,-85.71,0,top
K61-2,142.875,-85.725,0,top
K62,202.40625,-85.725,0,top
K63,226.21875,-85.725,0,top
K63-1,223.8375,-85.725,0,top
K64,250.03125,-85.725,0,top
K64-1,247.65,-85.725,0,top
K65,273.84375,-85.725072,0,top
K65-1,271.462728,-85.725072,0,top
LED1,11.73,-52.69,180,top
LED2,16.91,-52.68,180,top
